Fish_Name,Market,Standard,Catch,Ave_Value,Fish_Body_Composition_L,Fish_Body_Composition_M,Fish_Body_Composition_S,Fish_Body_Composition_XS,Date
生スケトウダラ,稚内,生鮮,3.4,37,,100,,,2021-05-19
生さば類(ﾏｻﾊﾞ・ｺﾞﾏｻﾊﾞ込),釜石,生鮮,78.1,82,,,,,2021-05-19
生本マス（サクラマス）,釜石,生鮮,0.1,794,,,,,2021-05-19
生マスノスケ,釜石,生鮮,0.0,428,,,,,2021-05-19
生ブリ(天然：ｲﾅﾀﾞ･ﾜﾗｻ含),釜石,生鮮,0.0,235,,,,,2021-05-19
生さわら類,釜石,生鮮,0.0,421,,,,,2021-05-19
生マダイ(天然),釜石,生鮮,0.0,562,,,,,2021-05-19
生その他のふぐ類,釜石,生鮮,0.1,29,,,,,2021-05-19
生その他かれい類,釜石,生鮮,0.0,165,,,,,2021-05-19
生マコガレイ,釜石,生鮮,0.0,157,,,,,2021-05-19
生ババガレイ（ナメタ）,釜石,生鮮,0.0,399,,,,,2021-05-19
生ヒラメ(天然),釜石,生鮮,0.0,710,,,,,2021-05-19
生クロソイ,釜石,生鮮,0.0,228,,,,,2021-05-19
生かさご類,釜石,生鮮,0.0,486,,,,,2021-05-19
生ホッケ,釜石,生鮮,0.0,303,,,,,2021-05-19
生アンコウ,釜石,生鮮,0.0,43,,,,,2021-05-19
生ドンコ,釜石,生鮮,0.0,257,,,,,2021-05-19
生アイナメ,釜石,生鮮,0.0,489,,,,,2021-05-19
生カワハギ,釜石,生鮮,0.0,232,,,,,2021-05-19
生あなご類,釜石,生鮮,0.0,995,,,,,2021-05-19
生その他の魚類,釜石,生鮮,0.1,76,,,,,2021-05-19
生かに類（その他）,釜石,生鮮,0.0,374,,,,,2021-05-19
生スルメイカ,釜石,生鮮,0.1,471,,,,,2021-05-19
生ヤリイカ,釜石,生鮮,0.1,929,,,,,2021-05-19
生その他のいか類,釜石,生鮮,0.0,270,,,,,2021-05-19
生ほや,釜石,生鮮,0.0,108,,,,,2021-05-19
生サメガレイ,釧路,生鮮,0.0,189,,,,,2021-05-19
生ヤナギムシガレイ(笹鰈),釧路,生鮮,0.4,184,,,,,2021-05-19
生マダラ,釧路,生鮮,121.2,119,,,,,2021-05-19
生スケトウダラ,釧路,生鮮,118.0,43,,,,,2021-05-19
生コマイ,釧路,生鮮,0.5,103,,,,,2021-05-19
生ホッケ,釧路,生鮮,0.9,108,,,,,2021-05-19
生ドスイカ,釧路,生鮮,0.1,238,,,,,2021-05-19
生ミズダコ,釧路,生鮮,1.0,767,,,,,2021-05-19
生マイワシ,銚子,生鮮,"2,062.1",38,,,,,2021-05-19
生ブリ(天然：ｲﾅﾀﾞ･ﾜﾗｻ含),銚子,生鮮,44.4,193,,,,,2021-05-19
