水揚日,荷主コード,荷主名,分類コード,分類名,魚種コード,魚種名,規格コード,規格名,仕切個数,仕切数量,仕切単価区分名,仕切税抜金額
20130519,54079,ツガイナカ中村漁場　１号,18,あんこう,2708,あんこう,0,,2,15.5,キロ,6975
20130519,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,0,3.6K,1,3.4,キロ,3230
20130519,54079,ツガイナカ中村漁場　１号,15,さめ,1502,もかざめ,0,,2,200,キロ,4000
20130519,54079,ツガイナカ中村漁場　１号,13,そい・めぬき,1307,ながら,0,,0,0.5,キロ,100
20130519,54079,ツガイナカ中村漁場　１号,11,かれい,1116,まつかわがれい,0,,2,0.6,キロ,180
20130519,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,3,17,キロ,1020
20130519,54079,ツガイナカ中村漁場　１号,9,すけそう,901,すけそう,0,,1,7,キロ,140
20130519,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,7,２小　　,0,0.4,キロ,8
20130519,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,6,小　　　,0,3,キロ,120
20130519,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,8,7.3,キロ,1679
20130519,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,6,8.8,キロ,2728
20130519,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,3,6.9,キロ,3830
20130519,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,0,2.4-2.2K,5,10.9,キロ,6322
20130519,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,0,2.6-2.5K,4,9.8,キロ,6566
20130519,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,0,2.9-2.7K,2,5.4,キロ,3888
20130519,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,0,3.1-3.2K,7,21.2,キロ,18020
20130519,54079,ツガイナカ中村漁場　１号,20,いか,2099,その他いか,0,,1,3,キロ,600
20130520,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,4,9.5,キロ,5501
