水揚日,荷主コード,荷主名,分類コード,分類名,魚種コード,魚種名,規格コード,規格名,仕切個数,仕切数量,仕切単価区分名,仕切税抜金額
20110413,54079,ツガイナカ中村漁場　１号,20,いか,2022,あかいか,0,,2,20,キロ,100
20110413,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,5,中　　　,2,4,キロ,480
20110413,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,2,1,キロ,150
20110413,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,3,23,キロ,1150
20110413,54079,ツガイナカ中村漁場　１号,11,かれい,1111,なめたがれい,0,,2,0.6,キロ,60
20110413,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,7,２小　　,2,19,キロ,475
20110413,54079,ツガイナカ中村漁場　１号,21,たこ,2104,柳だこ,0,,0,5,キロ,2150
20110413,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,1,1.2,キロ,720
20110413,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,5,4.2,キロ,1512
20110413,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,6,小　　　,3,35,キロ,2100
20110414,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,5,中　　　,2,20,キロ,3600
20110414,54079,ツガイナカ中村漁場　１号,11,かれい,1111,なめたがれい,0,,1,1,キロ,100
20110414,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,4,大　　　,1,7,キロ,700
20110414,54079,ツガイナカ中村漁場　１号,2,ます,204,ますのすけ,0,,1,3.3,キロ,7260
20110414,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,6,小　　　,9,106,キロ,11660
20110414,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,7,２小　　,3,30,キロ,900
20110414,54079,ツガイナカ中村漁場　１号,2,ます,202,あおます,0,,1,0.5,キロ,25
20110414,54079,ツガイナカ中村漁場　１号,20,いか,2022,あかいか,0,,2,30,キロ,150
20110414,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,136,小キズ,3,2,キロ,300
20110414,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,135,中キズ,1,1.2,キロ,300
20110414,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,9,4.2,キロ,630
20110414,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,34,30.4,キロ,11552
20110414,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,11,16.8,キロ,10080
20110414,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,2,5.6,キロ,5600
20110414,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,11,キロ,770
20110415,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,3,7.8,キロ,7800
20110415,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,7,9.4,キロ,5640
20110415,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,32,28,キロ,11200
20110415,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,3,1.2,キロ,216
20110415,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,134,大キズ,1,2,キロ,1100
20110415,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,136,小キズ,2,1.6,キロ,320
20110415,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,137,２小キズ,1,0.6,キロ,60
20110415,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,5,中　　　,1,2,キロ,200
20110415,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,5,中　　　,2,17,キロ,3060
20110415,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,6,小　　　,2,24,キロ,2640
20110415,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,7,２小　　,1,3,キロ,90
20110415,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,2,16,キロ,1280
20110415,54079,ツガイナカ中村漁場　１号,11,かれい,1111,なめたがれい,0,,1,0.8,キロ,80
20110415,54079,ツガイナカ中村漁場　１号,11,かれい,1116,まつかわがれい,0,,2,0.6,キロ,180
20110415,54079,ツガイナカ中村漁場　１号,15,さめ,1502,もかざめ,0,,1,25,キロ,3000
20110415,54079,ツガイナカ中村漁場　１号,20,いか,2022,あかいか,0,,1,9,キロ,45
20110417,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,8,３小　　,2,0.5,キロ,15
20110417,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,5,中　　　,2,5,キロ,600
20110417,54079,ツガイナカ中村漁場　１号,9,すけそう,901,すけそう,0,,1,2,キロ,40
20110417,54079,ツガイナカ中村漁場　１号,20,いか,2022,あかいか,0,,1,5,キロ,25
20110417,54079,ツガイナカ中村漁場　１号,27,その他魚類,2703,とうべつかじか,0,,1,3,キロ,30
20110417,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,6,小　　　,3,36,キロ,3600
20110417,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,7,２小　　,1,7,キロ,210
20110417,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,4,キロ,280
20110417,54079,ツガイナカ中村漁場　１号,27,その他魚類,2705,なべかじか,0,,1,2,キロ,60
20110417,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,5,中　　　,1,12,キロ,2040
