水揚日,荷主コード,荷主名,分類コード,分類名,魚種コード,魚種名,規格コード,規格名,仕切個数,仕切数量,仕切単価区分名,仕切税抜金額
20170423,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,13,17.2,キロ,24080
20170423,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,17,14.9,キロ,15198
20170423,54079,ツガイナカ中村漁場　１号,9,すけそう,901,すけそう,0,,0,4,キロ,40
20170423,54079,ツガイナカ中村漁場　１号,27,その他魚類,2705,なべかじか,0,,0,0.6,キロ,18
20170423,54079,ツガイナカ中村漁場　１号,13,そい・めぬき,1307,ながら,7,２小　　,0,0.4,キロ,120
20170423,54079,ツガイナカ中村漁場　１号,11,かれい,1111,なめたがれい,0,,0,0.5,キロ,50
20170423,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,0,4.5,キロ,450
20170423,54079,ツガイナカ中村漁場　１号,11,かれい,1116,まつかわがれい,0,活,1,0.5,キロ,250
20170423,54079,ツガイナカ中村漁場　１号,20,いか,2010,みずいか,0,,0,0.3,キロ,150
20170423,54079,ツガイナカ中村漁場　１号,18,あんこう,2708,あんこう,31,１Ｋ台　,3,4,キロ,360
20170423,54079,ツガイナカ中村漁場　１号,18,あんこう,2708,あんこう,32,２Ｋ台　,1,2.5,キロ,450
20170423,54079,ツガイナカ中村漁場　１号,18,あんこう,2708,あんこう,33,３Ｋ台　,1,2.9,キロ,725
20170423,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,8,３小　　,0,0.4,キロ,20
20170423,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,7,２小　　,0,0.6,キロ,48
20170423,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,6,小　　　,0,3,キロ,390
20170423,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,5,中　　　,0,9.5,キロ,1900
20170423,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,4,大　　　,0,7.5,キロ,1350
20170423,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,2,1,キロ,400
20170423,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,33,３Ｋ台　,1,2.9,キロ,10730
20170423,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,4,大　　　,0,6,キロ,8400
20170424,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,8,３小　　,0,0.4,キロ,20
20170424,54079,ツガイナカ中村漁場　１号,21,たこ,2104,柳だこ,0,,0,5,キロ,2945
20170424,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,5,中　　　,0,2.6,キロ,520
20170424,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,4,大　　　,0,6,キロ,1020
20170424,54079,ツガイナカ中村漁場　１号,18,あんこう,2708,あんこう,32,２Ｋ台　,2,4,キロ,600
20170424,54079,ツガイナカ中村漁場　１号,18,あんこう,2708,あんこう,33,３Ｋ台　,1,3.5,キロ,875
20170424,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,32,２Ｋ台　,2,4.8,キロ,12480
20170424,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,136,小キズ,1,0.7,キロ,224
20170424,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,2,0.8,キロ,360
20170424,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,7,6.3,キロ,4725
20170424,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,2,2.6,キロ,2600
20170424,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,1,2,キロ,4200
20170424,54079,ツガイナカ中村漁場　１号,27,その他魚類,2703,とうべつかじか,0,,0,0.7,キロ,14
20170424,54079,ツガイナカ中村漁場　１号,11,かれい,1114,まがれい,0,,0,0.3,キロ,45
20170424,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,0,2.3,キロ,230
20170424,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,6,小　　　,0,1,キロ,130
20170425,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,2,3.8,キロ,7600
20170425,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,21,31.8,キロ,31800
