水揚日,荷主コード,荷主名,分類コード,分類名,魚種コード,魚種名,規格コード,規格名,仕切個数,仕切数量,仕切単価区分名,仕切税抜金額
20140425,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,4,大　　　,1,0.7,キロ,280
20140425,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,4,キロ,280
20140425,54079,ツガイナカ中村漁場　１号,11,かれい,1111,なめたがれい,0,,1,0.2,キロ,10
20140425,54079,ツガイナカ中村漁場　１号,11,かれい,1116,まつかわがれい,0,,1,0.6,キロ,360
20140425,54079,ツガイナカ中村漁場　１号,11,かれい,1116,まつかわがれい,6,小　　　,1,0.2,キロ,40
20140425,54079,ツガイナカ中村漁場　１号,20,いか,2022,あかいか,0,,1,1,キロ,10
20140425,54079,ツガイナカ中村漁場　１号,27,その他魚類,2705,なべかじか,0,,1,1.2,キロ,60
20140425,54079,ツガイナカ中村漁場　１号,9,すけそう,901,すけそう,0,,1,2,キロ,40
20140427,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,3,4.9,キロ,3675
20140427,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,3,2.2,キロ,990
20140427,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,1,0.4,キロ,60
20140427,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,136,小キズ,1,1,キロ,300
20140427,54079,ツガイナカ中村漁場　１号,2,ます,202,あおます,0,,0,0.5,キロ,15
20140427,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,0,,1,2.5,キロ,3750
20140427,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,0,11,キロ,770
20140427,54079,ツガイナカ中村漁場　１号,11,かれい,1114,まがれい,0,,0,0.3,キロ,30
20140427,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,4,大　　　,0,1,キロ,500
20140427,54079,ツガイナカ中村漁場　１号,27,その他魚類,2799,その他鮮魚,0,,0,5,キロ,50
20140427,54079,ツガイナカ中村漁場　１号,21,たこ,2101,活だこ,3,大大　　,1,28.2,キロ,20304
20140428,54079,ツガイナカ中村漁場　１号,9,すけそう,901,すけそう,0,,0,0.5,キロ,10
20140428,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,0,7,キロ,420
20140428,54079,ツガイナカ中村漁場　１号,13,そい・めぬき,1309,もんき,8,３小　　,0,0.3,キロ,45
20140428,54079,ツガイナカ中村漁場　１号,12,ひらめ,1201,ひらめ,0,,0,1.7,キロ,2890
20140429,54079,ツガイナカ中村漁場　１号,27,その他魚類,2799,その他鮮魚,0,,1,1,キロ,10
20140429,54079,ツガイナカ中村漁場　１号,15,さめ,1502,もかざめ,0,,1,80,キロ,2000
20140429,54079,ツガイナカ中村漁場　１号,11,かれい,1116,まつかわがれい,0,,1,0.2,キロ,40
20140429,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,12,キロ,720
20140430,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,7,２小　　,3,1.7,キロ,255
20140430,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,6,5.5,キロ,2200
20140430,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,6,7.8,キロ,5460
20140430,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,136,小キズ,1,0.8,キロ,160
20140430,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,2,19,キロ,1140
