Fish_Name_JP_in_Data,Fish_Name_JP,Scientific_Name,Fish_Name_EN
キハダ累計,キハダマグロ,Thunnus_albacares,yellowfin_tuna_toal
きめじ,キハダマグロ,Thunnus_albacares,baby_yellowfin_tuna
ギンザケ,ギンザケ,Oncorhynchus_kisutch,coho_salmon
ギンダラ,ギンダラ,Anoplopoma_fimbria,sablefish
ぎんぽ類,ギンポ,Pholis,tidepool_gunnel
キンメダイ,キンメダイ,Beryx_splendens,splendid_alfonsino
クルマエビ,クルマエビ,Marsupenaeus_japonicus,japanese_tiger_prawn
クロカジキ(くろかわ),クロカジキ,Makaira_mazara,indopacific_bluemarlin
くろなまこ,マナマコ,Apostichopus_armata,sea_cucumber
ケガニ,ケガ二,Erimacrus_isenbeckii,horsehair_crab
こきちじ,キチジ,Sebastolobus_macrochir,broadbanded_thornyhead
こすけ,スケトウダラ,Gadus_chalcogrammus,alaska_pollock
ゴマサバ,ゴマサバ,Scomber_australasicus,blue_mackerel
サメガレイ,サメガレイ,Clidoderma_asperrimum,roughscale_sole
サルエビ,サルエビ,Trachysalambria_curvirostris,southern_rough_shrimp
サンマ,サンマ,Cololabis_saira,pacific_saury
シマガツオ,シマガツオ,Brama_japonica,pacific_pomfret
シロカジキ(しろかわ),シロカジキ,Istiompax_indica,black_marlin
ジンドウイカ(ヒイカ､小イカ),ジンドウイカ,Loliolus_japonica,japanese_squid
スルメイカ,スルメイカ,Todarodes_pacificus,japanese_flying_squid
ズワイガニ,ズワイガニ,Chionoecetes_opilio,snow_crab
ソウハチ,ソウハチ,Hippoglossoides_pinetorum,pointhead_flounder
その他のめぬけ類,その他のメヌケ類,none,rockfish_mebaru_other
その他の二枚貝,その他の二枚貝,none,clams_other
タケノコメバル,タケノコメバル,Sebastes_oblongus,oblong_rockfish
タラバガニ,タラバガニ,Paralithodes_camtschaticus,red_king_crab
だるま,メバチマグロ,Thunnus_obesus,little_bigeye_tuna
チカ,チカ,Hypomesus_japonicus,japanese_surfsmelt
ツノナシオキアミ(いさだ),ツノナシオキアミ,Euphausia_pacifica,krill
ツボダイ,ツボダイ,Pentaceros_japonicus,japanese_armorhead
トウジン,トウジン,Caelorinchus_japonicus,japanese_grenadier
ドジョウ,ドジョウ,Misgurnus_anguillicaudatus,pond_loach
ナガヅカ,ナガヅカ,Stichaeus_grigorjewi,long_shanny
ニジマス,ニジマス,Oncorhynchus_mykiss,rainbow_trout
ネズミザメ(もうかざめ),ネズミザメ,Lamna_ditropis,salmon_shark
バカガイ,バカガイ,Mactra_chinensis,chinese_mactra
バショウカジキ,バショウカジキ,Istiophorus_platypterus,indopacific_sailfish
ハマグリ,ハマグリ,Meretrix_lusoria,common_orient_clam
ヒガンフグ,ヒガンフグ,Takifugu_pardalis,panther_puffer
ヒジキ,ヒジキ,Sargassum_fusiforme,hijiki
ヒラメ,ヒラメ,Paralichthys_olivaceus,bastard_halibut
ヒレグロ,ヒレグロガレイ,Glyptocephalus_stelleri,blackfin_flounder
ぴんたら,スケトウダラ,Gadus_chalcogrammus,alaska_pollock
ビンナガ,ビンナガマグロ,Thunnus_alalunga,albacore_tuna
フクロノリ,フクロノリ,Gloiopeltis_furcata,glueweed
ブドウイカ,ヤリイカ,Heterololigo_bleekeri,Spear_squid
ホウボウ,ホウボウ,Chelidonichthys_spinosus,spiny_red_gurnard
ホタテガイ,ホタテガイ,Mizuhopecten_yessoensis,japanese_scallop
ボタンエビ,ボタンエビ,Pandalus_nipponensis,botan_shrimp
ホッケ,ホッケ,Pleurogrammus_azonus,okhotsk_atka_mackerel
ホラアナゴ(沖はも),ホラアナゴ,Synaphobranchus_affinis,grey_cutthroat_eel
ぽんたら,マダラ,Gadus_macrocephalus,pacific_cod
マガキ,マガキ,Magallana_gigas,pacific_oyster
マカジキ,マカジキ,Kajikia_audax,striped_marlin
マコンブ,マコンブ,Saccharina_japonica,brown_seaweed
ます類,マス,Oncorhynchus,trout
マダイ,マダイ,Pagrus_major,red_seabream
マツモ,マツモ,Ceratophyllum_demersum,matsumo
マハゼ（ヤキハゼ）,マハゼ,Acanthogobius_flavimanus,yellowfin_goby
マボヤ,マボヤ,Halocynthia_roretzi,sea_squirt
まめたら,マダラ,Gadus_macrocephalus,pacific_cod
マンボウ,マンボウ,Mola_mola,ocean_sunfish
ミギガレイ,ミギガレイ,Dexistes_rikuzenius,rikuzen_flounder
