Fish_Name_JP_in_Data
ア－ファ
ｱｰﾗﾐｰﾊﾞｲ
ｱｲｺﾞ(ｿﾉ他)
アオダイ
アオチビキ
アオヤガラ他
アオリイカ
アオリイカ（赤）
アオリイカ（白）
ｱｶﾀﾏｶﾞｼﾗ
アカハタ（他）
アカマンボウ
アサヒガニ
アズキハタ
あなご、はも
アマダイ科
ｱﾏﾐﾉｳｼﾉｼﾀ他
アマミフエフキ
あやくれー
アヤトビウオ他
あやびかー
いか（その他）
いけかつお
イシガキダイ
イシダイ
イスズミ科
ｲｽｽﾞﾐ科(ｶﾞﾗｻｰ)
ｲｾｴﾋﾞ
イソフエフキ
イソマグロ
イットウダイ科
イトヒキフエダイ
ｲﾄﾌｴﾌｷ、ﾏﾄﾌｴﾌｷ他
イトヨリダイ属
いるか
ウシエビ他
ウスバハギ他
ウチワエビモドキ他
うつぼ
うに
ｳﾏｽﾞﾗｱｼﾞ、ｲﾄﾋｷｱｼﾞ
ウメイロ
ウルメイワシ
えい類
えび（その他）
オオグチイシチビキ
オオグチハマダイ
オオヒメ
オオメナツトビ他
オオモンハタ
オキアジ
がさみ類
カツオ
かつお（小）
かつお（大）
かつお（中）
かつお（分類不明）
かに（その他）
カマスサワラ
カマス科
かわはぎ類
かわはぎ類（他）
カンムリブダイ
カンモンハタ
ｷｽ科
ｷﾀﾞｲ、ｷﾋﾞﾚｱｶﾚﾝｺ
ｷﾀﾞｲ、ﾀｲﾜﾝﾀﾞｲ他
キツネフエフキ他
きはだ
きはだ（20kg以上）
きめじ（10～20kg）
ギンガメアジ類
キンメヒメダイ
くぁーいか
クマササハナムロ
グルクマ
グルクマ（大）
ぐるくん
ぐるくん（他）
くるびらー
クロカジキ
クロサギ科
クロハギ属（他）
ｸﾛﾎｼﾌｴﾀﾞｲ他
クロマグロ
クロマグロ四つ割
クロマグロ頭
コクハンアラ
コショウダイ属
コチ科
コトヒキ
コブシメ
ゴマアイゴ
ゴマフエダイ
さざえ（殻付）
さざえ（身）
ササムロ
サバヒ－
さめ
ｻﾖﾘ科
さわら類
シイラ
しび
しび（小）
しび（大）
しび（中）
シマアオダイ
シマアオダイ他
シマガツオ科
シマダコ
シモフリアイゴ
シモフリアイゴ他
ｼｬｺｶﾞｲ他（殻）
ｼｬｺｶﾞｲ他（殻付）
ｼｬｺｶﾞｲ他（身）
シラヒゲウニ（殻付
シラヒゲウニ（身）
シロカジキ
シロクラベラ
シロブチハタ
すく小
スジアラ他
スマ
セミエビ他
センネンダイ
ソデイカ
ソデイカ（ゲソ）
その他の魚
タイワンダイ
タイワンメナダ他
ﾀｶｻｺﾞ、ﾆｾﾀｶｻｺﾞ
ﾀｷﾍﾞﾗ他
タチウオ
だつ
だるま小
チョウチョウウオ類
ツチホゼリ
つのまた
ツバメウオ他
ツマリトビウオ
ツムブリ
テングハギ他
テンス属
トサカハギ他
トビイカ
トラフコウイカ他
なまこ
ナミハタ
ナミホシオキフエダイ
ニザダイ
ニシキエビ
ニジョウサバ
ﾆｾｸﾛﾎｼﾌｴﾀﾞｲ他
ノコギリガザミ
ノコギリダイ
バショウカジキ
ハチジョウアカムツ
ハチビキ
ﾊﾅｱｲｺﾞ、ｱﾐｱｲｺﾞ他
ハマダイ
ハマフエフキ
ﾊﾞﾗﾊﾀ、ｵｼﾞﾛﾊﾞﾗﾊﾀ
ﾊﾘｾﾝﾎﾞﾝ科
ひかー小
ﾋﾄｽｼﾞﾀﾏｶﾞｼﾗ他
ヒブダイ雌
ﾋﾒｼﾞｬｺ他（殻付）
ﾋﾒｼﾞｬｺ他（身）
ヒメジ科
ヒメダイ
ﾋﾒﾌｴﾀﾞｲ他
ひらーぐるくん
ひらあじ類（他）
ヒラケンサキイカ
ヒラソウダ
ヒラニザ他、ﾆｻﾞﾀﾞｲ
ヒラニザ他（他）
ﾋﾚﾅｶﾞｶﾝﾊﾟﾁ､ｶﾝﾊﾟﾁ
ヒレナガハギ
ビンナガ
フウライカジキ
フウライカジキ生
フエダイ他
ふぐ類
フダイ科（他）
ブリ
ベラ科（他）
ホウキハタ
ホウセキキントキ他
ﾎｼﾔﾏﾄﾐｽﾞﾝ、ﾔﾏﾄﾐｽﾞﾝ
ﾎﾎｱｶｸﾁﾋﾞ、ｱﾐﾌｴﾌｷ
ほら貝
まがき貝（殻付）
まがき貝（身）
マカジキ
マダイ
マダラハタ
マルコバン（まながつお)
みーばい
みーばい（他）
ミズン
ミナミクロダイ
ミヤコテング
ムツ
ﾑﾛｱｼﾞ類
メアジ（大）
メイチダイ属
メカジキ
メガネモチノウオ
メダイ
めばち（10～20kg）
めばち（20kg以上）
もずく
モヨウフグ他
ﾔﾏﾌﾞｷﾊﾀ他
ﾔﾝﾊﾞﾙｼﾏｱｵﾀﾞｲ
ヨコシマクロダイ
ヨコシマサワラ
ﾘｭｳｷｭｳﾄﾞﾛｸｲ
ロウニンアジ
ﾛｸｾﾝﾌｴﾀﾞｲ他
ワモンダコ
海ぶどー(養)
海亀
貝（他）
魚種名エラー
高瀬貝（殻）
高瀬貝（殻付）
高瀬貝（身）
雑魚
紫いか
深海鮫（サメ）
赤むろかたかし
夜光貝（殻）
夜光貝（殻付）
夜光貝（身）
養殖あわび
