市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
塩釜Ｋ,クロマグロ累計,生鮮,輸入魚,全階層,0,2003/09/12,219.7,439220,6,2300,1700,1999.1,,
塩釜Ｋ,クロマグロ累計,生鮮,輸入魚,全階層,0,2003/09/13,165.8,585800,3,5000,2200,3533.1,,
塩釜Ｋ,クロマグロ累計,生鮮,輸入魚,全階層,0,2003/09/16,448.6,1150200,12,5500,1600,2563.9,,
塩釜Ｋ,クロマグロ累計,生鮮,輸入魚,全階層,0,2003/09/18,229.4,460700,6,2300,1700,2008.2,,
塩釜Ｋ,クロマグロ累計,生鮮,輸入魚,全階層,0,2003/09/19,168.8,341880,4,2300,1800,2025.3,,
塩釜Ｋ,クロマグロ累計,生鮮,輸入魚,全階層,0,2003/09/20,66,112000,2,1800,1600,1696.9,,
塩釜Ｋ,ビンナガ,生鮮,まぐろ延縄･近海,全階層,0,2003/09/15,79.4,55940,4,750,620,704.5,,
塩釜Ｋ,マサバ,生鮮,沖合底曳網・板曳,全階層,0,2003/09/11,3.4,34,1,10,10,10,,
塩釜Ｋ,マサバ,生鮮,沖合底曳網・板曳,全階層,0,2003/09/13,1.8,36,1,20,20,20,,
塩釜Ｋ,マサバ,生鮮,沖合底曳網・板曳,全階層,0,2003/09/16,9.2,703,4,200,20,76.4,,
塩釜Ｋ,マサバ,生鮮,沖合底曳網・板曳,全階層,0,2003/09/18,1.4,28,1,20,20,19.9,,
塩釜Ｋ,マサバ,生鮮,沖合底曳網・板曳,全階層,0,2003/09/20,1,200,1,0,0,200,,
塩釜Ｋ,マサバ,生鮮,小型底曳網・板曳,全階層,0,2003/09/12,68.8,55670,11,1500,50,809.1,,
塩釜Ｋ,マサバ,生鮮,小型底曳網・板曳,全階層,0,2003/09/13,208.4,100375,16,1400,200,481.6,,
塩釜Ｋ,マサバ,生鮮,小型底曳網・板曳,全階層,0,2003/09/16,326.6,185592,27,1300,50,568.2,,
塩釜Ｋ,マサバ,生鮮,小型底曳網・板曳,全階層,0,2003/09/17,271.6,159421,35,1600,80,586.9,,
塩釜Ｋ,マサバ,生鮮,小型底曳網・板曳,全階層,0,2003/09/18,110.1,82740,15,1500,200,751.4,,
塩釜Ｋ,マサバ,生鮮,小型底曳網・板曳,全階層,0,2003/09/19,409.9,128319,39,1200,50,313,,
塩釜Ｋ,マサバ,生鮮,刺網全漁法,全階層,0,2003/09/11,85.5,21180,14,700,50,247.7,,
塩釜Ｋ,マサバ,生鮮,刺網全漁法,全階層,0,2003/09/12,87.9,22038,20,800,100,250.7,,
塩釜Ｋ,マサバ,生鮮,刺網全漁法,全階層,0,2003/09/13,110.3,29635,17,800,100,268.6,,
塩釜Ｋ,マサバ,生鮮,その他漁業種,全階層,0,2003/09/12,5,2000,1,2000,2000,400,,
塩釜Ｋ,マサバ累計,生鮮,沖合底曳網・板曳,全階層,0,2003/09/11,3.4,34,1,10,10,10,,
塩釜Ｋ,マサバ累計,生鮮,沖合底曳網・板曳,全階層,0,2003/09/13,1.8,36,1,20,20,20,,
塩釜Ｋ,マサバ累計,生鮮,沖合底曳網・板曳,全階層,0,2003/09/16,9.2,703,4,200,20,76.4,,
塩釜Ｋ,マサバ累計,生鮮,沖合底曳網・板曳,全階層,0,2003/09/18,1.4,28,1,20,20,19.9,,
塩釜Ｋ,マサバ累計,生鮮,沖合底曳網・板曳,全階層,0,2003/09/20,1,200,1,0,0,200,,
塩釜Ｋ,マサバ累計,生鮮,小型底曳網・板曳,全階層,0,2003/09/12,68.8,55670,11,1500,50,809.1,,
塩釜Ｋ,マサバ累計,生鮮,小型底曳網・板曳,全階層,0,2003/09/13,208.4,100375,16,1400,200,481.6,,
塩釜Ｋ,あんこう類,生鮮,沖合底曳網・板曳,全階層,0,2003/09/16,288.4,84067,22,650,10,291.4,,
塩釜Ｋ,あんこう類,生鮮,沖合底曳網・板曳,全階層,0,2003/09/18,272.7,73378,28,630,10,269,,
塩釜Ｋ,あんこう類,生鮮,沖合底曳網・板曳,全階層,0,2003/09/20,163.1,33719,18,500,10,206.7,,
塩釜Ｋ,あんこう類,生鮮,刺網全漁法,全階層,0,2003/09/11,6.8,350,3,50,10,51.4,,
塩釜Ｋ,あんこう類,生鮮,刺網全漁法,全階層,0,2003/09/12,7.7,901,3,150,30,117,,
塩釜Ｋ,あんこう類,生鮮,刺網全漁法,全階層,0,2003/09/13,19.8,5509,6,330,200,278.2,,
塩釜Ｋ,あんこう類,生鮮,その他漁業種,全階層,0,2003/09/11,8.1,1620,1,200,200,200,,
塩釜Ｋ,アカマンボウ,生鮮,まぐろ延縄･近海,全階層,0,2003/09/18,308,34050,6,150,50,110.5,,
塩釜Ｋ,カガミダイ,生鮮,沖合底曳網・板曳,全階層,0,2003/09/16,4.6,920,1,200,200,199.9,,
塩釜Ｋ,マトウダイ,生鮮,沖合底曳網・板曳,全階層,0,2003/09/16,3.2,1120,1,350,350,350,,
塩釜Ｋ,マトウダイ,生鮮,沖合底曳網・板曳,全階層,0,2003/09/18,2.8,280,1,100,100,99.9,,
塩釜Ｋ,マトウダイ,生鮮,沖合底曳網・板曳,全階層,0,2003/09/20,3,600,1,200,200,200,,
塩釜Ｋ,マトウダイ,生鮮,刺網全漁法,全階層,0,2003/09/11,1,300,1,0,0,300,,
塩釜Ｋ,マトウダイ,生鮮,刺網全漁法,全階層,0,2003/09/12,1,100,1,0,0,100,,
塩釜Ｋ,かます類,生鮮,小型底曳網・板曳,全階層,0,2003/09/12,0.5,500,1,0,0,1000,,
塩釜Ｋ,アオメエソ,生鮮,沖合底曳網・板曳,全階層,0,2003/09/18,2.2,1980,2,900,900,899.9,,
塩釜Ｋ,アオメエソ,生鮮,沖合底曳網・板曳,全階層,0,2003/09/20,3.3,2210,2,700,700,669.6,,
塩釜Ｋ,サンマ,生鮮,その他漁業種,全階層,0,2003/09/11,3552,845200,94,750,110,237.9,,
塩釜Ｋ,サンマ,生鮮,その他漁業種,全階層,0,2003/09/12,3956,1062640,98,930,150,268.6,,
塩釜Ｋ,サンマ,生鮮,その他漁業種,全階層,0,2003/09/13,4424,1251440,107,900,120,282.8,,
塩釜Ｋ,サンマ,生鮮,その他漁業種,全階層,0,2003/09/16,1768,612200,69,650,230,346.2,,
塩釜Ｋ,サンマ,生鮮,その他漁業種,全階層,0,2003/09/17,4656,1201680,132,800,140,258,,
塩釜Ｋ,サンマ,生鮮,その他漁業種,全階層,0,2003/09/18,6144,1034280,140,630,100,168.3,,
塩釜Ｋ,サンマ,生鮮,その他漁業種,全階層,0,2003/09/19,4976,735480,122,520,90,147.8,,
塩釜Ｋ,サンマ,生鮮,その他漁業種,全階層,0,2003/09/20,2160,452600,56,500,120,209.5,,
塩釜Ｋ,エゾイソアイナメ,生鮮,沖合底曳網・板曳,全階層,0,2003/09/11,182.4,9424,15,200,10,51.6,,
塩釜Ｋ,エゾイソアイナメ,生鮮,沖合底曳網・板曳,全階層,0,2003/09/13,173.9,11464,16,300,10,65.9,,
塩釜Ｋ,エゾイソアイナメ,生鮮,沖合底曳網・板曳,全階層,0,2003/09/16,158.2,23178,19,460,10,146.5,,
塩釜Ｋ,エゾイソアイナメ,生鮮,沖合底曳網・板曳,全階層,0,2003/09/18,98.8,11833,12,250,20,119.7,,
塩釜Ｋ,エゾイソアイナメ,生鮮,沖合底曳網・板曳,全階層,0,2003/09/20,59.6,9637,10,350,10,161.6,,
塩釜Ｋ,エゾイソアイナメ,生鮮,小型底曳網・板曳,全階層,0,2003/09/18,1.6,640,1,400,400,400,,
塩釜Ｋ,エゾイソアイナメ,生鮮,刺網全漁法,全階層,0,2003/09/12,1,300,1,0,0,300,,
塩釜Ｋ,エゾイソアイナメ,生鮮,その他漁業種,全階層,0,2003/09/20,18.7,3015,3,200,150,161.2,,
塩釜Ｋ,ぽんたら,生鮮,沖合底曳網・板曳,全階層,0,2003/09/18,30.3,606,1,20,20,20,,
塩釜Ｋ,ぽんたら,生鮮,沖合底曳網・板曳,全階層,0,2003/09/20,20,3800,3,1300,700,190,,
塩釜Ｋ,まだら,生鮮,沖合底曳網・板曳,全階層,0,2003/09/11,10.6,2270,2,250,150,214.1,,
塩釜Ｋ,まだら,生鮮,沖合底曳網・板曳,全階層,0,2003/09/13,20.2,3176,3,250,80,157.2,,
塩釜Ｋ,まだら,生鮮,沖合底曳網・板曳,全階層,0,2003/09/16,10,3062,3,400,150,306.2,,
塩釜Ｋ,まだら,生鮮,沖合底曳網・板曳,全階層,0,2003/09/18,6.6,708,2,200,30,107.2,,
塩釜Ｋ,まだら,生鮮,沖合底曳網・板曳,全階層,0,2003/09/20,17.7,2670,4,200,100,150.8,,
塩釜Ｋ,マダラ累計,生鮮,沖合底曳網・板曳,全階層,0,2003/09/11,10.6,2270,2,250,150,214.1,,
塩釜Ｋ,マダラ累計,生鮮,沖合底曳網・板曳,全階層,0,2003/09/13,20.2,3176,3,250,80,157.2,,
塩釜Ｋ,マダラ累計,生鮮,沖合底曳網・板曳,全階層,0,2003/09/16,10,3062,3,400,150,306.2,,
塩釜Ｋ,サメガレイ,生鮮,沖合底曳網・板曳,全階層,0,2003/09/20,2.6,130,1,50,50,50,,
