市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
渡波,スケトウダラ累計,生鮮,沿岸小漁,動力船３トン以上５トン未満,0,2008/09/15,5,1800,1,360,360,360,,
渡波,スズキ累計,活魚,沿岸小漁,不明,0,2008/09/15,21.6,4670,2,800,150,216,,
渡波,スズキ累計,生鮮,沿岸小漁,不明,0,2008/09/15,33,3300,1,100,100,100,,
渡波,マサバ累計,生鮮,沿岸小漁,動力船１０トン以上２０トン未満,0,2008/09/16,2,60,1,30,30,30,,
渡波,マサバ累計,生鮮,沿岸小漁,不明,0,2008/09/16,11,330,1,30,30,30,,
渡波,キチジ累計,生鮮,沿岸小漁,動力船１０トン以上２０トン未満,0,2008/09/16,20,21000,1,1800,300,1050,,
渡波,ワカメ,生鮮,その他漁業種,不明,0,2008/10/23,15,2500,1,166,166,166.6,,
渡波,マアジ,生鮮,沿岸小漁,不明,0,2008/10/23,8,400,1,50,50,50,,
渡波,シロサケ,生鮮,沿岸小漁,動力船１０トン以上２０トン未満,0,2008/10/23,41.2,22003,1,750,160,534,,
渡波,シロサケ累計,生鮮,沿岸小漁,動力船１０トン以上２０トン未満,0,2008/10/14,85,34050,1,700,100,400,,
渡波,マダラ累計,生鮮,沿岸小漁,動力船１０トン以上２０トン未満,0,2008/09/16,1950,540900,2,390,130,277,,
渡波,スズキ累計,活魚,沿岸小漁,不明,0,2008/09/16,17,2550,1,150,150,150,,
渡波,スズキ累計,生鮮,沿岸小漁,不明,0,2008/09/16,32,3200,1,100,100,100,,
渡波,キチジ累計,生鮮,沿岸小漁,動力船３トン以上５トン未満,0,2008/09/15,40,40700,3,2000,220,1018,,
渡波,ヒラメ累計,活魚,沿岸小漁,不明,0,2008/09/15,0.4,400,1,1000,1000,1000,,
渡波,シロサケ累計,生鮮,沿岸小漁,動力船１０トン以上２０トン未満,0,2008/09/16,2,1000,1,500,500,500,,
渡波,ブリ累計,生鮮,沿岸小漁,動力船１０トン以上２０トン未満,0,2008/09/16,10,200,1,20,20,20,,
渡波,ヒラメ累計,活魚,沿岸小漁,動力船１０トン以上２０トン未満,0,2008/09/16,4.4,9800,1,2500,1000,2227,,
渡波,すけとうだら,生鮮,沿岸小漁,動力船１０トン以上２０トン未満,0,2008/10/23,5,2300,1,460,460,460,,
渡波,マアナゴ(はも),活魚,沿岸小漁,不明,0,2008/10/23,40.2,28120,2,1000,550,699.5,,
渡波,エゾイソアイナメ,生鮮,沿岸小漁,動力船１０トン以上２０トン未満,0,2008/10/23,25,12500,1,500,500,500,,
渡波,その他のさかな,生鮮,沿岸小漁,動力船１０トン以上２０トン未満,0,2008/10/23,10,200,1,20,20,20,,
渡波,その他のさかな,生鮮,沿岸小漁,不明,0,2008/10/23,6,120,1,20,20,20,,
渡波,ミズダコ,生鮮,沿岸小漁,動力船１０トン以上２０トン未満,0,2008/10/23,5,1250,1,250,250,250,,
渡波,マダコ,活魚,沿岸小漁,不明,0,2008/10/23,3.4,3800,1,1200,1000,1117.6,,
渡波,アブラボウズ,生鮮,沿岸小漁,不明,0,2008/01/09,43,65580,1,1800,1500,1525.1,,
渡波,その他のさかな,生鮮,その他漁業種,不明,0,2008/01/21,0,13250,16,0,0,0,,
渡波,ババガレイ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/11,86,47320,7,2000,100,550.2,,
渡波,ホシガレイ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/11,5.8,7840,3,2000,800,1351.7,,
渡波,アイナメ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/15,1.4,900,1,800,300,642.8,,
渡波,アイナメ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/15,6.4,1880,4,400,100,293.7,,
渡波,アブラツノザメ(油ざめ),生鮮,小型底曳網・板曳,不明,0,2008/01/15,3,60,1,20,20,20,,
渡波,ヒラメ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/15,159.4,140140,5,2000,600,879.1,,
渡波,ヒラメ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/15,331.8,201970,9,1000,500,608.7,,
渡波,ババガレイ,生鮮,小型底曳網・板曳,不明,0,2008/01/15,2.2,760,1,1000,200,345.4,,
渡波,ホシガレイ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/15,14.6,18680,5,1300,1000,1279.4,,
渡波,ホシガレイ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/15,17.6,10880,7,1000,300,618.1,,
渡波,マコガレイ,生鮮,小型底曳網・板曳,不明,0,2008/01/15,6.4,1940,1,350,100,303.1,,
渡波,調研カレイ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/19,10,200,1,20,20,20,,
渡波,マアナゴ(はも),活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/19,70.2,65712,6,1800,660,936,,
渡波,せいご,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/19,12,3830,3,600,50,319.1,,
渡波,ホウボウ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/19,20.2,6080,10,700,50,300.9,,
渡波,トラフグ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/19,6,22200,3,4500,3000,3700,,
渡波,エゾイソアイナメ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/19,2,40,1,20,20,20,,
渡波,シロギス,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/19,1.8,900,3,500,500,500,,
渡波,その他のさかな,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/19,6,120,1,20,20,20,,
渡波,ミズダコ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/19,850.4,140922,12,450,10,165.7,,
渡波,マダコ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/19,60.8,31686,6,550,320,521.1,,
渡波,ワカメ,生鮮,その他漁業種,不明,0,2008/01/09,24.5,50500,3,2300,2000,2061.2,,
渡波,ニシン,生鮮,沿岸小漁,不明,0,2008/01/09,1,600,1,600,600,600,,
渡波,アブラツノザメ(油ざめ),生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/10,145,8120,9,100,40,56,,
渡波,ヒラメ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/10,94.4,95780,5,2500,700,1014.6,,
渡波,ババガレイ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/10,109,52440,11,2000,100,481.1,,
渡波,アブラツノザメ(油ざめ),生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/11,37,2080,6,100,40,56.2,,
渡波,ヒラメ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/11,90.2,96836,5,2500,700,1073.5,,
渡波,調研カレイ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/11,3,60,1,20,20,20,,
渡波,マアナゴ(はも),活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/11,74,71520,5,1800,600,966.4,,
渡波,ケムシカジカ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/15,3,90,2,30,30,30,,
渡波,シロギス,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/15,0.4,160,1,400,400,400,,
渡波,その他のさかな,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/01/15,16,320,2,20,20,20,,
渡波,ミズダコ,生鮮,小型底曳網・板曳,不明,0,2008/01/15,60,17680,1,400,30,294.6,,
渡波,マダコ,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2008/01/15,45.6,16780,4,400,180,367.9,,
渡波,ミズダコ,生鮮,その他漁業種,不明,0,2008/01/21,1928.6,683940,18,500,200,354.6,,
渡波,調研サメ,生鮮,沿岸小漁,動力船１０トン以上２０トン未満,0,2008/01/21,5,500,1,100,100,100,,
渡波,調研カレイ,生鮮,沿岸小漁,動力船１０トン以上２０トン未満,0,2008/01/21,5,3300,1,660,660,660,,
渡波,アイナメ,活魚,沿岸小漁,不明,0,2008/01/21,0.4,120,1,300,300,300,,
渡波,ウミタナゴ,活魚,沿岸小漁,不明,0,2008/01/21,5,1000,1,200,200,200,,
渡波,ミズダコ,生鮮,沿岸小漁,動力船１０トン以上２０トン未満,0,2008/01/21,43,10750,3,250,250,250,,
渡波,ジンドウイカ(ヒイカ､小イカ),活魚,沿岸小漁,不明,0,2008/01/21,2.6,1040,1,400,400,400,,
渡波,トゲクリガニ,活魚,沿岸小漁,不明,0,2008/01/21,9,1800,1,200,200,200,,
渡波,くろなまこ,活魚,沿岸小漁,不明,0,2008/01/21,1.4,1400,1,1000,1000,1000,,
渡波,アブラツノザメ(油ざめ),生鮮,沿岸小漁,動力船１０トン以上２０トン未満,0,2008/01/19,16,560,1,60,20,35,,
渡波,ミズダコ,生鮮,沿岸小漁,不明,0,2008/01/19,23,4600,1,200,200,200,,
渡波,トゲクリガニ,活魚,沿岸小漁,不明,0,2008/01/19,14,2800,1,200,200,200,,
渡波,調研カレイ,生鮮,その他漁業種,不明,0,2008/01/09,2,600,1,300,300,300,,
渡波,スケトウダラ累計,生鮮,沿岸小漁,不明,0,2008/06/19,5,1300,1,260,260,260,,
渡波,えい類,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/03/24,9.6,184,3,50,10,19.1,,
渡波,エゾイソアイナメ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2008/03/24,4,80,1,20,20,20,,
渡波,しらうお類,生鮮,その他漁業種,不明,0,2008/04/05,78.4,422800,17,8000,3000,5392.8,,
渡波,ワカメ,生鮮,その他漁業種,不明,0,2008/04/05,117,44250,4,1666,133,378.2,,
渡波,ニシン,生鮮,沿岸小漁,不明,0,2008/04/05,1.4,1820,1,1300,1300,1300,,
渡波,サクラマス,生鮮,沿岸小漁,不明,0,2008/04/05,2,3600,1,1800,1800,1800,,
