市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
志津川,まだら,生鮮,刺網全漁法,不明,0,2002/01/04,1,1000,1,1000,1000,1000,,
志津川,まだら,生鮮,刺網全漁法,不明,0,2002/01/05,1,1200,1,1200,1200,1200,,
志津川,まだら,生鮮,刺網全漁法,不明,0,2002/01/07,43,18350,1,950,200,426.7,,
志津川,まだら,生鮮,刺網全漁法,不明,0,2002/01/08,47.5,26185,2,1000,280,551.2,,
志津川,まだら,生鮮,定置網・落網(大型定置),動力船５トン以上１０トン未満,0,2002/01/07,2.8,616,1,220,220,219.9,,
志津川,まだら,生鮮,定置網・ます網つぼ網(小型定置),動力船１トン以上３トン未満,0,2002/01/04,1,2000,1,2000,2000,2000,,
志津川,まだら,生鮮,定置網・ます網つぼ網(小型定置),動力船１トン以上３トン未満,0,2002/01/08,8,1600,1,200,200,200,,
志津川,マダラ累計,生鮮,刺網全漁法,動力船１トン未満,0,2002/01/04,4,800,1,200,200,200,,
志津川,マダラ累計,生鮮,刺網全漁法,動力船１トン未満,0,2002/01/05,29,29200,1,1400,550,1006.8,,
志津川,マダラ累計,生鮮,刺網全漁法,動力船１トン未満,0,2002/01/07,153,101850,6,960,166,665.6,,
志津川,マダラ累計,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2002/01/04,27,7300,5,1000,150,270.3,,
志津川,マダラ累計,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2002/01/05,522.5,361170,7,1400,250,691.2,,
志津川,マダラ累計,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2002/01/07,174.5,79580,10,1100,150,456,,
志津川,マダラ累計,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2002/01/08,34,22860,3,2500,230,672.3,,
志津川,マダラ累計,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2002/01/04,72.7,43305,4,1000,200,595.6,,
志津川,マダラ累計,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2002/01/05,548.1,355760,11,1350,250,649,,
志津川,マダラ累計,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2002/01/07,606.5,348110,14,1200,130,573.9,,
志津川,ウミタナゴ,生鮮,刺網全漁法,動力船１トン未満,0,2002/01/11,5,4500,2,2500,500,900,,
志津川,ウミタナゴ,生鮮,刺網全漁法,動力船１トン未満,0,2002/01/12,1,1500,1,1500,1500,1500,,
志津川,ウミタナゴ,生鮮,刺網全漁法,動力船１トン未満,0,2002/01/15,18,8500,1,666,433,472.2,,
志津川,ウミタナゴ,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2002/01/15,6,1200,1,200,200,200,,
志津川,ウミタナゴ,生鮮,刺網全漁法,不明,0,2002/01/11,10.5,5100,2,600,450,485.7,,
志津川,ウミタナゴ,生鮮,刺網全漁法,不明,0,2002/01/12,3,1500,1,500,500,500,,
志津川,ウミタナゴ,生鮮,刺網全漁法,不明,0,2002/01/15,32,7100,4,333,80,221.8,,
志津川,ウミタナゴ,生鮮,定置網・落網(大型定置),動力船１トン以上３トン未満,0,2002/01/10,39,8610,1,550,100,220.7,,
志津川,ウミタナゴ,生鮮,定置網・落網(大型定置),動力船１トン以上３トン未満,0,2002/01/12,14.5,5250,1,800,150,362,,
志津川,ウミタナゴ,生鮮,定置網・落網(大型定置),動力船１トン以上３トン未満,0,2002/01/15,82,11450,1,350,70,139.6,,
