市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
渡波,マツカワ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2007/01/05,0.2,100,1,500,500,500,,
渡波,アブラツノザメ(油ざめ),生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2007/01/10,524,51470,8,230,65,98.2,,
渡波,ヒラメ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2007/01/10,30.4,23480,3,2500,400,772.3,,
渡波,マコガレイ,生鮮,小型底曳網・板曳,不明,0,2007/01/10,6,1910,1,600,120,318.3,,
渡波,マコガレイ,生鮮,小型底曳網・板曳,不明,0,2007/01/05,9,2970,1,480,150,330,,
渡波,調研カレイ,生鮮,小型底曳網・板曳,不明,0,2007/01/05,39,780,1,20,20,20,,
渡波,マアナゴ(はも),活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2007/01/05,356,220050,6,1000,250,618.1,,
渡波,マアナゴ(はも),生鮮,小型底曳網・板曳,不明,0,2007/01/05,69.6,25910,1,450,100,372.2,,
渡波,その他のさかな,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2007/01/12,2,20,1,10,10,10,,
渡波,ミズダコ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2007/01/12,40.4,28280,5,700,700,700,,
渡波,エゾイソアイナメ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2007/01/18,85,1700,3,20,20,20,,
渡波,ケムシカジカ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2007/01/18,14,1400,3,100,100,100,,
渡波,マコガレイ,生鮮,小型底曳網・板曳,不明,0,2007/01/22,31,4270,1,200,50,137.7,,
渡波,調研カレイ,生鮮,小型底曳網・板曳,不明,0,2007/01/22,15,3100,1,300,20,206.6,,
渡波,マアナゴ(はも),活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2007/01/22,114.8,61360,4,800,200,534.4,,
渡波,マアナゴ(はも),生鮮,小型底曳網・板曳,不明,0,2007/01/22,23.8,6760,1,300,200,284,,
渡波,すずき,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2007/01/22,1.8,1440,1,800,800,800,,
渡波,ユメカサゴ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2007/01/22,6.6,11600,5,2200,400,1757.5,,
渡波,エゾイソアイナメ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2007/01/05,6,120,1,20,20,20,,
渡波,ケムシカジカ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2007/01/05,5.6,560,4,100,100,100,,
渡波,その他のさかな,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2007/01/05,19,580,1,20,20,30.5,,
渡波,ミズダコ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2007/01/05,34.8,17100,2,600,300,491.3,,
渡波,エゾイソアイナメ,生鮮,小型底曳網・板曳,不明,0,2007/01/12,25,500,1,20,20,20,,
渡波,ケムシカジカ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2007/01/12,1.8,180,2,100,100,100,,
渡波,調研カレイ,生鮮,小型底曳網・板曳,不明,0,2007/01/10,9,180,1,20,20,20,,
渡波,マアナゴ(はも),活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2007/01/10,242.6,131360,5,850,400,541.4,,
渡波,ユメカサゴ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2007/01/10,0.2,360,1,1800,1800,1800,,
