市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
亘理,すけとうだら,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2001/01/18,28.4,3149,7,150,30,110.8,,
亘理,スケトウダラ累計,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2001/01/16,104.2,12077,8,200,60,115.9,,
亘理,スケトウダラ累計,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2001/01/18,28.4,3149,7,150,30,110.8,,
亘理,あんこう類,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2001/01/18,0,500,1,0,0,0,,
亘理,あんこう類,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2001/01/16,0,800,1,0,0,0,,
亘理,あんこう類,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2001/01/18,0,1000,2,0,0,0,,
亘理,せいご,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2001/01/18,0.9,180,1,200,200,200,,
亘理,せいご,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2001/01/16,1.6,100,2,50,50,62.5,,
亘理,すずき,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2001/01/16,208.1,147185,12,1200,100,707.2,,
亘理,すずき,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2001/01/17,25.6,16930,1,850,500,661.3,,
亘理,すずき,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2001/01/18,86.4,66400,13,1000,300,768.5,,
亘理,すずき,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2001/01/16,22.9,21140,1,1000,800,923.1,,
亘理,すずき,活魚,定置網・ます網つぼ網(小型定置),動力船３トン以上５トン未満,0,2001/01/17,17.2,9020,1,750,400,524.4,,
亘理,すずき,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2001/01/16,12.9,3400,3,400,200,263.5,,
亘理,すずき,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2001/01/16,9.5,3430,1,500,250,361,,
亘理,スズキ累計,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2001/01/16,208.1,147185,12,1200,100,707.2,,
亘理,スズキ累計,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2001/01/17,25.6,16930,1,850,500,661.3,,
亘理,スズキ累計,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2001/01/18,87.3,66580,14,1000,200,762.6,,
亘理,スズキ累計,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2001/01/16,22.9,21140,1,1000,800,923.1,,
亘理,スズキ累計,活魚,定置網・ます網つぼ網(小型定置),動力船３トン以上５トン未満,0,2001/01/17,17.2,9020,1,750,400,524.4,,
亘理,スズキ累計,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2001/01/16,14.5,3500,5,400,50,241.3,,
亘理,スズキ累計,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2001/01/16,9.5,3430,1,500,250,361,,
亘理,シロギス,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2001/01/16,0,350,3,0,0,0,,
亘理,イシガレイ,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2001/01/13,6.2,5450,2,1000,700,879,,
亘理,イシガレイ,生鮮,刺網全漁法,不明,0,2001/01/12,0,1000,1,0,0,0,,
亘理,ヌマガレイ(カワガレイ),活魚,定置網・ます網つぼ網(小型定置),動力船３トン以上５トン未満,0,2001/01/10,94.3,47150,1,500,500,500,,
亘理,ヌマガレイ(カワガレイ),活魚,定置網・ます網つぼ網(小型定置),動力船３トン以上５トン未満,0,2001/01/11,35.5,19360,1,600,500,545.3,,
亘理,ヌマガレイ(カワガレイ),生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2001/01/12,3.5,350,1,100,100,100,,
亘理,ヌマガレイ(カワガレイ),生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2001/01/13,1.5,300,1,200,200,200,,
亘理,その他の巻き貝,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2001/01/12,22.6,6780,1,300,300,300,,
亘理,その他の巻き貝,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2001/01/12,32.4,10285,3,350,0,317.4,,
亘理,ホッキガイ,生鮮,小型底曳網・桁あみ,不明,0,2001/01/12,1078,386835,3,376,342,358.8,,
亘理,まだら,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2001/01/23,17.3,2875,2,200,150,166.1,,
亘理,まだら,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2001/01/23,196.7,38560,1,500,100,196,,
亘理,マダラ累計,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2001/01/23,17.3,2875,2,200,150,166.1,,
亘理,マダラ累計,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2001/01/23,196.7,38560,1,500,100,196,,
亘理,マコガレイ,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2001/01/23,19,10560,2,700,400,555.7,,
亘理,マガレイ,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2001/01/23,37.6,24640,2,800,500,655.3,,
