市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
亘理,マダラ累計,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2015/01/28,609,44595,3,200,50,73,,
亘理,マガレイ,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2015/01/06,484.3,172910,3,450,300,357,,
亘理,マコガレイ,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2015/01/06,99.8,23850,5,400,100,239,,
亘理,マコガレイ,活魚,定置網・ます網つぼ網(小型定置),動力船３トン以上５トン未満,0,2015/01/06,2.8,800,1,400,200,285.7,,
亘理,マコガレイ,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2015/01/06,32.2,3110,3,100,50,96.6,,
亘理,クロウシノシタ,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2015/01/06,1.3,910,1,700,700,700,,
亘理,メイタガレイ,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2015/01/06,44.2,14885,2,700,100,336.8,,
亘理,その他のかれい,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2015/01/06,1.5,150,1,100,100,100,,
亘理,マダコ,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2015/01/06,4,1600,1,400,400,400,,
亘理,ミズダコ,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2015/01/06,63.2,28400,4,600,400,449.4,,
亘理,イイダコ,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2015/01/06,0.7,70,1,100,100,100,,
亘理,ホッキガイ,生鮮,定置網・ます網つぼ網(小型定置),動力船３トン以上５トン未満,0,2015/01/06,394,127553,3,348,18,323.7,,
亘理,ホッキガイ,生鮮,小型底曳網・桁あみ,動力船１０００トン以上,0,2015/01/06,75.5,37750,1,500,500,500,,
亘理,アイナメ,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2015/01/06,38.9,26970,5,1000,300,693.3,,
亘理,マアジ,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2015/01/06,2.7,540,1,200,200,200,,
亘理,マアナゴ(はも),活魚,小型底曳網・板曳,動力船１０００トン以上,0,2015/01/06,18.8,18800,3,1000,1000,1000,,
亘理,あんこう類,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2015/01/06,0,6000,2,2500,1500,0,,
亘理,ジンドウイカ(ヒイカ､小イカ),生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2015/01/06,22.8,6840,2,300,300,300,,
亘理,ヤリイカ,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2015/01/06,5.9,1545,2,300,150,261.9,,
亘理,ケムシカジカ,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2015/01/06,4.8,960,2,200,200,200,,
