市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
亘理,まだら,生鮮,小型底曳網・板曳,不明,0,2018/05/07,14.9,298,1,20,20,20,0005009,0004
亘理,まだら,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2018/05/07,7.2,216,1,30,30,30,0005009,0004
亘理,ババガレイ,活魚,小型底曳網・板曳,不明,0,2018/05/07,21.3,8550,2,500,300,401.4,0005302,0004
亘理,ババガレイ,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2018/05/07,53.3,18960,4,400,100,355.7,0005302,0004
亘理,ババガレイ,活魚,刺網全漁法,不明,0,2018/05/07,6,1160,3,200,100,193.3,0005302,0008
亘理,ババガレイ,活魚,刺網全漁法,動力船１０００トン以上,0,2018/05/07,2,400,1,200,200,200,0005302,0008
亘理,ババガレイ,生鮮,小型底曳網・板曳,不明,0,2018/05/07,6.9,2070,1,300,300,300,0005302,0004
亘理,ババガレイ,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2018/05/07,4,1200,1,300,300,300,0005302,0004
亘理,イシガレイ,活魚,小型底曳網・板曳,不明,0,2018/05/07,51.3,8250,1,200,150,160.8,0005306,0004
亘理,イシガレイ,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2018/05/07,300.7,51690,5,200,100,171.9,0005306,0004
亘理,イシガレイ,活魚,刺網全漁法,不明,0,2018/05/07,260.1,126200,4,600,100,485.2,0005306,0008
亘理,イシガレイ,活魚,刺網全漁法,動力船１０００トン以上,0,2018/05/07,99.8,49900,1,500,500,500,0005306,0008
亘理,イシガレイ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2018/05/07,52.4,26200,1,500,500,500,0005306,0008
亘理,イシガレイ,活魚,定置網・ます網つぼ網(小型定置),動力船３トン以上５トン未満,0,2018/05/17,1.1,440,1,400,400,400,0005306,0013
亘理,イシガレイ,生鮮,小型底曳網・板曳,不明,0,2018/05/17,61.2,9415,1,200,150,153.8,0005306,0004
亘理,イシガレイ,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2018/05/17,85,12750,4,150,150,150,0005306,0004
亘理,はが,活魚,小型底曳網・板曳,不明,0,2018/05/17,65,19290,2,600,100,296.8,0005323,0004
亘理,はが,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2018/05/17,88.8,28880,4,500,200,325.2,0005323,0004
亘理,はが,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2018/05/17,19.4,3880,1,200,200,200,0005323,0004
亘理,ホシガレイ,活魚,小型底曳網・板曳,不明,0,2018/05/17,8.4,18340,4,3000,800,2183.3,0005324,0004
亘理,ホシガレイ,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2018/05/17,7.5,11100,4,3000,600,1480,0005324,0004
亘理,ホシガレイ,活魚,刺網全漁法,不明,0,2018/05/17,6,13000,1,3000,1500,2166.7,0005324,0008
