市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
渡波,すずき,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2006/01/17,14.8,4240,3,300,100,286.4,,
渡波,ホッケ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2006/01/17,0.4,200,1,500,500,500,,
渡波,サワラ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2006/01/17,4.8,720,2,150,150,150,,
渡波,エゾイソアイナメ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2006/01/17,18,360,3,20,20,20,,
渡波,その他のさかな,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2006/01/17,0,10500,11,0,0,0,,
渡波,アブラツノザメ(油ざめ),生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2006/01/07,377,53250,8,270,100,141.2,,
渡波,ババガレイ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2006/01/07,32.4,40820,7,2000,300,1259.8,,
渡波,その他のさかな,生鮮,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2006/01/21,0,100,1,0,0,0,,
渡波,ミズダコ,活魚,小型底曳網・板曳,動力船５トン以上１０トン未満,0,2006/01/21,5,2000,3,400,400,400,,
渡波,ミズダコ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2006/01/21,112.8,44868,11,500,200,397.7,,
渡波,サワラ,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2006/01/10,3.4,510,1,150,150,150,,
渡波,その他のさかな,生鮮,小型底曳網・板曳,動力船１０トン以上２０トン未満,0,2006/01/10,0,5510,10,0,0,0,,
渡波,すけとうだら,生鮮,沿岸小漁,動力船１０トン以上２０トン未満,0,2006/01/11,295,93200,7,320,200,315.9,,
渡波,ババガレイ,活魚,沿岸小漁,不明,0,2006/01/11,1.2,900,1,1000,500,750,,
渡波,きちじ,生鮮,沿岸小漁,動力船１０トン以上２０トン未満,0,2006/01/11,70,112000,6,2300,550,1600,,
