市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
花渕浜,ミズダコ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2005/01/12,4,2400,1,600,600,600,,
花渕浜,ミズダコ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/10,6.2,4030,1,650,650,650,,
花渕浜,ミズダコ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/11,2.6,780,1,300,300,300,,
花渕浜,ミズダコ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/12,14.5,7250,2,500,500,500,,
花渕浜,ミズダコ,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/11,14.5,7250,2,500,500,500,,
花渕浜,ミズダコ,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/12,7.5,3750,1,500,500,500,,
花渕浜,その他の巻き貝,活魚,その他の釣,動力船５トン以上１０トン未満,0,2005/01/11,17.5,5250,1,300,300,300,,
花渕浜,イシガレイ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2005/01/11,3.9,1220,2,400,200,312.8,,
花渕浜,イシガレイ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2005/01/12,1.7,620,1,600,200,364.7,,
花渕浜,イシガレイ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/10,176,80860,9,650,100,459.4,,
花渕浜,イシガレイ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/11,0.8,280,1,350,350,350,,
花渕浜,イシガレイ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/12,97.9,32545,5,650,50,332.4,,
花渕浜,イシガレイ,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/10,111,53590,5,650,300,482.7,,
花渕浜,イシガレイ,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/11,43.6,24855,5,650,200,570,,
花渕浜,イシガレイ,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/12,86.3,43000,8,700,100,498.2,,
花渕浜,ヌマガレイ(カワガレイ),活魚,刺網全漁法,動力船１トン以上３トン未満,0,2005/01/11,1.5,75,1,50,50,50,,
花渕浜,ヌマガレイ(カワガレイ),活魚,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/11,2,200,1,100,100,100,,
花渕浜,ヤナギムシガレイ,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/10,7,9470,2,2000,1000,1352.8,,
花渕浜,ヤナギムシガレイ,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/12,6.1,8700,2,1800,1200,1426.2,,
花渕浜,ヤナギムシガレイ,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/10,6.9,9960,3,2000,1000,1443.4,,
花渕浜,ヤナギムシガレイ,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/12,15,22500,2,1500,1500,1500,,
花渕浜,メイタガレイ,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/12,1.2,720,1,600,600,600,,
花渕浜,その他のさかな,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2005/01/10,13,3790,1,1000,100,291.5,,
花渕浜,その他のさかな,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2005/01/11,1.7,520,2,600,100,305.8,,
花渕浜,その他のさかな,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2005/01/12,1,500,1,500,500,500,,
花渕浜,その他のさかな,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/10,8,4100,2,1300,100,512.5,,
花渕浜,その他のさかな,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/11,2,700,1,350,350,350,,
花渕浜,その他のさかな,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/12,2.5,875,2,800,50,350,,
花渕浜,その他のさかな,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/10,2,1200,1,1000,200,600,,
花渕浜,その他のさかな,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/11,2,400,1,300,100,200,,
花渕浜,その他のさかな,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2005/01/10,2,500,1,300,200,250,,
花渕浜,その他のさかな,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/10,2,400,1,300,100,200,,
花渕浜,その他のさかな,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/12,1,300,1,300,300,300,,
花渕浜,その他のさかな,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/10,1,400,1,400,400,400,,
花渕浜,その他のさかな,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/12,1,200,1,200,200,200,,
花渕浜,ミズダコ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2005/01/10,8.4,4200,1,500,500,500,,
花渕浜,ヒラメ累計,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/11,2.2,12100,1,5500,5500,5500,,
花渕浜,ババガレイ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/10,9.4,11650,3,1500,600,1239.3,,
花渕浜,ババガレイ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/12,5.2,5960,2,1800,600,1146.1,,
花渕浜,ババガレイ,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/10,2.3,1350,1,700,500,586.9,,
花渕浜,ババガレイ,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/10,1.4,700,1,500,500,499.9,,
花渕浜,ホシガレイ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2005/01/10,1.4,4550,1,3500,3000,3249.9,,
花渕浜,ホシガレイ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2005/01/11,1,2000,1,2000,2000,2000,,
花渕浜,ホシガレイ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/10,0.9,2250,1,2500,2500,2500,,
花渕浜,ホシガレイ,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/10,1.8,7200,1,4000,4000,4000,,
花渕浜,マガレイ,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/11,61.9,25445,8,500,150,411,,
花渕浜,マガレイ,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/12,270.4,106315,9,650,200,393.1,,
花渕浜,イシガレイ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2005/01/10,5.8,2510,1,450,400,432.7,,
花渕浜,アイナメ,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/11,3.8,3130,2,1300,600,823.6,,
花渕浜,アイナメ,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2005/01/10,17.8,3180,2,300,100,178.6,,
花渕浜,アイナメ,生鮮,刺網全漁法,動力船１トン以上３トン未満,0,2005/01/12,5,500,1,100,100,100,,
花渕浜,アイナメ,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/12,3.5,700,1,200,200,200,,
花渕浜,コチ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2005/01/10,1.4,1960,1,1400,1400,1399.9,,
花渕浜,コチ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/10,0.7,1750,1,2500,2500,2499.9,,
花渕浜,コチ,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/11,1.6,2240,2,1800,200,1400,,
花渕浜,ケムシカジカ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2005/01/10,3.6,2000,1,600,500,555.5,,
花渕浜,ケムシカジカ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2005/01/12,3.3,1650,1,500,500,499.9,,
花渕浜,ケムシカジカ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/10,1.8,900,1,500,500,500,,
花渕浜,ケムシカジカ,活魚,刺網全漁法,動力船３トン以上５トン未満,0,2005/01/12,3.2,1600,1,500,500,500,,
花渕浜,ケムシカジカ,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/10,2,1200,1,600,600,600,,
花渕浜,ケムシカジカ,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/11,1.5,750,1,500,500,500,,
花渕浜,ケムシカジカ,活魚,刺網全漁法,動力船５トン以上１０トン未満,0,2005/01/12,1,500,1,500,500,500,,
花渕浜,そげ,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2005/01/10,2.3,2780,1,1300,1000,1208.6,,
