市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
亘理,マダラ累計,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2013/01/31,17.6,529,1,50,20,30,,
亘理,マダラ累計,活魚,刺網全漁法,不明,0,2013/01/31,16.3,2445,1,150,150,150,,
亘理,マダラ累計,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2013/01/31,180,1800,1,10,10,10,,
亘理,マダラ累計,生鮮,刺網全漁法,不明,0,2013/01/31,30,300,1,10,10,10,,
亘理,マダラ累計,活魚,刺網全漁法,動力船１０００トン以上,0,2013/01/30,67.5,3407,1,100,30,50,,
亘理,マダラ累計,活魚,刺網全漁法,不明,0,2013/01/30,138.1,17525,1,150,100,127,,
亘理,マダラ累計,生鮮,刺網全漁法,動力船１０００トン以上,0,2013/01/30,60.5,5090,2,200,50,84,,
亘理,マダラ累計,生鮮,刺網全漁法,不明,0,2013/01/30,335.5,15009,3,150,10,45,,
亘理,マダラ累計,活魚,刺網全漁法,不明,0,2013/01/22,82.2,26175,1,600,200,318,,
亘理,マダラ累計,生鮮,刺網全漁法,不明,0,2013/01/22,18.3,1830,1,100,100,100,,
亘理,マダラ累計,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2013/01/21,270.2,48430,2,300,100,179,,
亘理,マダラ累計,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2013/01/21,16.7,2015,1,200,50,121,,
亘理,マダラ累計,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2013/01/29,176.8,19817,2,500,10,112,,
亘理,マダラ累計,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2013/01/29,7.6,1415,1,300,50,186,,
亘理,マダラ累計,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2013/01/20,178.3,25483,2,1100,30,143,,
亘理,マダラ累計,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2013/01/18,17.8,3670,1,350,150,206,,
亘理,マダラ累計,生鮮,刺網全漁法,不明,0,2013/01/18,295.7,39370,2,300,100,133,,
亘理,メイタガレイ,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2013/01/29,1.8,90,1,50,50,50,,
亘理,ミズダコ,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2013/01/29,14.1,4700,2,400,300,333.3,,
亘理,イイダコ,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2013/01/29,4.8,1680,1,350,350,350,,
亘理,ホッキガイ,生鮮,小型底曳網・桁あみ,不明,0,2013/01/29,46.5,21520,1,500,400,462.8,,
亘理,アイナメ,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2013/01/29,22.2,10650,1,700,200,479.7,,
亘理,ケムシカジカ,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2013/01/29,30.8,4620,1,150,150,150,,
亘理,ヒラツメガニ,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2013/01/29,0,100,1,100,100,0,,
亘理,まだら,活魚,刺網全漁法,不明,0,2013/01/30,138.1,17525,1,150,100,126.9,,
亘理,まだら,活魚,刺網全漁法,動力船１０００トン以上,0,2013/01/30,67.5,3407,1,100,30,50.5,,
亘理,まだら,生鮮,刺網全漁法,不明,0,2013/01/30,335.5,15009,3,150,10,44.7,,
亘理,まだら,生鮮,刺網全漁法,動力船１０００トン以上,0,2013/01/30,60.5,5090,2,200,50,84.1,,
亘理,マガレイ,活魚,刺網全漁法,動力船１０００トン以上,0,2013/01/30,19.5,9750,1,500,500,500,,
亘理,マガレイ,生鮮,刺網全漁法,動力船１０００トン以上,0,2013/01/30,354.6,168875,2,650,350,476.2,,
亘理,マコガレイ,活魚,刺網全漁法,動力船１０００トン以上,0,2013/01/30,81.8,20820,2,500,150,254.5,,
亘理,マコガレイ,生鮮,刺網全漁法,動力船１０００トン以上,0,2013/01/30,0.4,80,1,200,200,200,,
亘理,ケムシカジカ,生鮮,刺網全漁法,動力船１０００トン以上,0,2013/01/30,5.4,810,1,150,150,150,,
亘理,まだら,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2013/01/31,17.6,529,1,50,20,30.1,,
亘理,まだら,活魚,刺網全漁法,不明,0,2013/01/31,16.3,2445,1,150,150,150,,
亘理,まだら,生鮮,刺網全漁法,不明,0,2013/01/31,30,300,1,10,10,10,,
亘理,まだら,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2013/01/31,180,1800,1,10,10,10,,
亘理,イシガレイ,活魚,小型底曳網・板曳,動力船１０００トン以上,0,2013/01/31,23.6,7230,1,450,100,306.4,,
亘理,イシガレイ,生鮮,小型底曳網・板曳,動力船１０００トン以上,0,2013/01/31,3.8,570,1,150,150,150,,
