市場コード,魚種コード,出荷形態コード,漁業種コード,トン数階層コード,県内県外区分,年月日,日別水揚量(キロ),日別水揚金額(円),水場隻数,日別高値(円),日別安値(円),平均単価(円),市場魚種コード,市場漁業種コード
志津川,ヒラメ累計,生鮮,定置網・落網(大型定置),動力船５トン以上１０トン未満,0,2003/09/27,3.4,5540,3,2424,777,1629.4,,
志津川,その他のかれい,活魚,刺網全漁法,動力船１トン以上３トン未満,0,2003/09/25,1,1200,1,1200,1200,1200,,
志津川,その他のかれい,活魚,せん漁業,不明,0,2003/09/26,1,1600,1,1600,1600,1600,,
志津川,その他のかれい,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2003/09/25,1,2300,1,2300,2300,2300,,
志津川,その他のかれい,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2003/09/26,5,1500,1,300,300,300,,
志津川,その他のかれい,生鮮,刺網全漁法,動力船５トン以上１０トン未満,0,2003/09/27,1,1500,1,1500,1500,1500,,
志津川,その他のかれい,生鮮,刺網全漁法,動力船１０トン以上２０トン未満,0,2003/09/25,1,300,1,300,300,300,,
志津川,マサバ累計,生鮮,定置網・落網(大型定置),不明,0,2003/09/27,5648,310640,1,55,55,55,,
志津川,マサバ累計,生鮮,定置網・ます網つぼ網(小型定置),動力船１トン以上３トン未満,0,2003/09/25,1,1266,1,1266,1266,1266,,
志津川,マサバ累計,生鮮,定置網・ます網つぼ網(小型定置),動力船１トン以上３トン未満,0,2003/09/27,47,2023,3,138,27,43,,
志津川,マサバ累計,生鮮,定置網・ます網つぼ網(小型定置),動力船３トン以上５トン未満,0,2003/09/25,16,1328,1,83,83,83,,
志津川,ゴマサバ,生鮮,刺網全漁法,動力船３トン以上５トン未満,0,2003/09/25,2.5,200,1,80,80,80,,
志津川,ゴマサバ,生鮮,定置網・落網(大型定置),動力船５トン以上１０トン未満,0,2003/09/26,4,200,1,50,50,50,,
志津川,ゴマサバ,生鮮,定置網・落網(大型定置),動力船５トン以上１０トン未満,0,2003/09/27,8,808,1,101,101,101,,
志津川,そうだがつお類,生鮮,定置網・落網(大型定置),動力船５トン以上１０トン未満,0,2003/09/25,5,75,1,15,15,15,,
志津川,メバル,生鮮,定置網・落網(大型定置),動力船５トン以上１０トン未満,0,2003/09/25,2.2,1954,1,888,888,888.1,,
志津川,メバル,生鮮,定置網・ます網つぼ網(小型定置),動力船５トン以上１０トン未満,0,2003/09/25,1,1680,1,1680,1680,1680,,
志津川,クロソイ,生鮮,定置網・落網(大型定置),動力船１トン以上３トン未満,0,2003/09/27,1.4,1665,1,1189,1189,1189.2,,
